date,x[km],y[km],z[m]
20170105,7.805028990836121,-23.29439651248822,-55.884033525
20170106,7.8050269395207295,-23.29439971969441,-55.885056355
20170107,7.805026118483397,-23.294398322499546,-55.889057934
20170108,7.805028899131344,-23.29439784540864,-55.904970956
20170109,7.80502641866741,-23.294393988110187,-55.903002529999995
20170110,7.805030063765713,-23.29439423929034,-55.896263865
20170111,7.805029422938603,-23.29439028518118,-55.898465575
20170112,7.805031066359945,-23.294392968665306,-55.885977691
20170113,7.805026439262676,-23.294393763520475,-55.879490427
20170114,7.805028334642188,-23.294392779683676,-55.89119195200001
20170115,7.80503175999992,-23.29439625654277,-55.884946057
20170116,7.805027279355443,-23.294394828411896,-55.88333467499999
20170117,7.805034252634513,-23.29439999941951,-55.893406476
20170118,7.805030786134537,-23.29439708259224,-55.883997990999994
20170119,7.805024955164285,-23.294401929588275,-55.895863268
20170120,7.805025252769241,-23.294397702055903,-55.900406405999995
20170121,7.805020729381951,-23.294396723168575,-55.896721305999996
20170122,7.805024279075212,-23.294398420322068,-55.897051445
20170123,7.805026227677715,-23.29439676511538,-55.894534687
20170124,7.805030971884037,-23.294394520329206,-55.892602694000004
20170125,7.805032150266115,-23.29439069194632,-55.890016957
20170126,7.805028554500552,-23.29438966587759,-55.886734135
20170127,7.805031204417929,-23.294391076527518,-55.900435992999995
20170128,7.805026390646347,-23.29440772127009,-55.891164207
20170129,7.805027031369619,-23.294398494542747,-55.893157048
20170130,7.805025637873925,-23.294405435512544,-55.888295239
20170131,7.805031714961984,-23.294396922456144,-55.892203972000004
20170201,7.805032270184839,-23.294388805672952,-55.893836992
20170202,7.805030872385487,-23.29439585766795,-55.894902841
20170203,7.805031094995442,-23.294392632897598,-55.902459588000006
20170204,7.805025181450873,-23.294398595869097,-55.88348818200001
20170205,7.805029891559045,-23.294396796901765,-55.890207611
20170206,7.805028263065267,-23.294393782308816,-55.888254914
20170207,7.805026884724384,-23.294400498906725,-55.888731162999996
20170208,7.805026201221864,-23.294397100793503,-55.890647085999994
20170209,7.8050298038353105,-23.29439802086108,-55.88596884500001
20170210,7.805026133052422,-23.294398211056432,-55.889704753
20170211,7.805029149683534,-23.29439417814592,-55.882631651
20170212,7.805029058600894,-23.29439551104224,-55.887499842000004
20170213,7.805026222063219,-23.294396769440937,-55.896688156
20170214,7.805027838994391,-23.294400004158433,-55.87950872300001
20170215,7.805025994768016,-23.29440010217877,-55.88774492700001
20170216,7.805026315179177,-23.2943954344114,-55.886721068
20170217,7.805028194695012,-23.294394781725714,-55.890222785000006
20170218,7.805025171922054,-23.294398813859516,-55.893635866
20170219,7.805027337673465,-23.29439393820212,-55.886967402
20170220,7.805028217254204,-23.294394448254934,-55.896174108000004
20170221,7.805029034386038,-23.294395953384992,-55.87840015799999
20170222,7.80503121129702,-23.294390964370905,-55.895982341999996
20170223,7.805026157102901,-23.294397874447895,-55.88906574799999
20170224,7.80503073947051,-23.29439774754701,-55.889526856
20170225,7.805033133139474,-23.294402828767033,-55.88651715700001
20170226,7.805028770889038,-23.29439973304852,-55.884292581000004
20170227,7.805033785651673,-23.294393486609806,-55.889972439000005
20170228,7.805025248202497,-23.294397593440408,-55.886950666000004
20170301,7.805023121264185,-23.294388513797003,-55.89967887000001
20170302,7.8050294570548004,-23.29438973158767,-55.896383549999996
20170303,7.805025675765705,-23.294391478197667,-55.897664725000006
20170304,7.805028535086194,-23.294389887343186,-55.89942664499999
20170305,7.80502823269029,-23.29439433369953,-55.899889529000006
20170306,7.805032488563683,-23.294398878913398,-55.897467606999996
20170307,7.805029833410757,-23.2943976830029,-55.886136918999995
20170308,7.805024263138662,-23.294398750449545,-55.888871415
20170309,7.805025104011648,-23.29439981530868,-55.900570550000005
20170310,7.805019774633692,-23.294397219985512,-55.894273144
20170311,7.805025501542147,-23.29439403384049,-55.889753496
20170312,7.805029181591237,-23.294393840193607,-55.903851411000005
20170313,7.805029253554636,-23.29439283858119,-55.891032943000006
20170314,7.8050282596287985,-23.29439389022218,-55.893439576000006
20170315,7.80503189495532,-23.29439436247958,-55.894747106
20170316,7.805027982698874,-23.294397892136658,-55.886859062
20170317,7.805027892544757,-23.29439922499614,-55.88781398199999
20170318,7.805027202473482,-23.29439593902589,-55.889414186
20170319,7.805030724327551,-23.294397969864804,-55.88669532
20170320,7.805023568718809,-23.294395464655736,-55.889052971
20170321,7.80502819547965,-23.294394779643426,-55.892344083
20170322,7.805029003167178,-23.294396398059234,-55.89063011700001
20170323,7.805024756526464,-23.29439152709074,-55.900362351
20170324,7.805032762828162,-23.294395090612852,-55.896420074999995
20170325,7.805027310273147,-23.294394381698567,-55.898966868
20170326,7.8050255503924575,-23.29439336674477,-55.896671090000005
20170327,7.805025399823549,-23.294395588874522,-55.885360287
20170328,7.8050299674391255,-23.29439568325097,-55.88148624600001
20170329,7.805029163102631,-23.294394063674645,-55.887964057000005
20170330,7.805031969033536,-23.294393251977453,-55.887225437
20170331,7.805030959880554,-23.29439463269364,-55.89846582700001
20170401,7.8050275621466625,-23.294390715405825,-55.898174102000006
20170402,7.805026259985752,-23.294396320392934,-55.888746823000005
20170403,7.805024484499469,-23.294395527781035,-55.883195785
20170404,7.805025342935238,-23.294396367147783,-55.884077317999996
20170405,7.805028124118337,-23.294395891060958,-55.886444094000005
